,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
5314,F29568,2019-09-20,2019-09-20,1939.92
5315,F29578,2019-09-20,2019-09-20,777.1
5316,F29583,2019-09-19,2019-09-20,120.00000000000001
5317,F29584,2019-09-19,2019-09-20,2371.3500000000004
5318,F29585,2019-09-19,2019-09-20,252.16000000000003
5319,F29587,2019-09-17,2019-09-20,142.26000000000002
5320,F29588,2019-09-18,2019-09-20,1700.0000000000002
5321,F29589,2019-09-18,2019-09-20,708.0200000000001
5322,F29590,2019-09-18,2019-09-20,111.00000000000001
5323,F29591,2019-09-18,2019-09-20,918.34
5324,F29592,2019-09-18,2019-09-20,102.42
5325,F29635,2019-09-23,2019-09-24,120.00000000000001
5326,F29636,2019-09-23,2019-09-24,36.21
5327,F29637,2019-09-23,2019-09-24,456.00000000000006
5328,F29638,2019-09-24,2019-09-24,682.5
5329,F29665,2019-09-24,2019-09-26,597.4200000000001
5330,F29666,2019-09-25,2019-09-26,563.6
5331,F29667,2019-09-24,2019-09-26,72.42
5332,F29668,2019-09-24,2019-09-26,380.00000000000006
5333,F29669,2019-09-24,2019-09-26,252.16000000000003
5334,F29671,2019-09-26,2019-09-26,155.17060000000004
5335,F29704,2019-09-30,2019-09-30,2830.1724000000004
5336,F29707,2019-09-30,2019-09-30,11190.000000000002
5337,F29710,2019-09-30,2019-09-30,5255.25
5338,F29715,2019-09-30,2019-09-30,636.5517000000001
5339,F29722,2019-09-30,2019-09-30,1724.1379000000002
5340,F29724,2019-09-30,2019-09-30,623.75
5341,F29725,2019-09-30,2019-09-30,498.2758
5342,F29728,2019-09-30,2019-09-30,344.8275
5343,F29729,2019-09-30,2019-09-30,258.6206
5344,F29730,2019-09-30,2019-09-30,650.0
5345,F29731,2019-09-30,2019-09-30,332.7582
5346,F29732,2019-09-30,2019-09-30,862.0689000000001
5347,F29733,2019-09-30,2019-09-30,7512.0
5348,F29752,2019-10-02,2019-10-02,623.73
5349,F29758,2019-10-03,2019-10-03,633.96
5350,F29767,2019-10-02,2019-10-03,448.28000000000003
5351,F29775,2019-10-03,2019-10-03,284.53000000000003
5352,F29777,2019-10-02,2019-10-03,318.4200000000001
5353,F29778,2019-10-02,2019-10-03,56.71000000000001
5354,F29785,2019-10-04,2019-10-04,813.8103000000001
5355,F29810,2019-10-04,2019-10-04,340.0
5356,F29813,2019-10-07,2019-10-07,784.62
5357,F29816,2019-10-07,2019-10-07,392.35
5358,F29820,2019-10-07,2019-10-07,650.0
5359,F29826,2019-10-08,2019-10-08,717.24
5360,F29830,2019-09-20,2019-10-08,498.28000000000003
5361,F29835,2019-10-08,2019-10-08,44.84
5362,F29836,2019-10-08,2019-10-08,575.8620000000001
5363,F29837,2019-10-08,2019-10-08,1398.88
5364,F29843,2019-10-09,2019-10-09,112.10000000000001
5365,F29849,2019-10-09,2019-10-09,84.1379
5366,F29871,2019-10-10,2019-10-10,439.9057
5367,F29882,2019-10-11,2019-10-11,500.0
5368,F29902,2019-10-15,2019-10-15,1647.3
5369,F29908,2019-10-15,2019-10-15,596.1186
5370,F29918,2019-10-16,2019-10-16,3800.0
5371,F29924,2019-10-16,2019-10-16,1801.5515
5372,F29940,2019-10-17,2019-10-17,311.2068
5373,F29946,2019-10-17,2019-10-17,300.0
5374,F29957,2019-10-18,2019-10-18,1240.0
5375,F29964,2019-10-18,2019-10-18,2400.0
5376,F29975,2019-10-21,2019-10-21,496.8448
5377,F29976,2019-10-21,2019-10-21,111.00000000000001
5378,F29979,2019-10-22,2019-10-22,2796.9
5379,F29993,2019-10-23,2019-10-23,877.7500000000001
5380,F29996,2019-10-23,2019-10-23,831.0689000000001
5381,F30008,2019-10-23,2019-10-23,5156.8954
5382,F30009,2019-10-23,2019-10-23,2441.4051000000004
5383,F30030,2019-10-24,2019-10-24,403.7922
5384,F30032,2019-10-24,2019-10-24,4037.8500000000004
5385,F30034,2019-10-25,2019-10-25,530.172
5386,F30066,2019-10-29,2019-10-29,164.862
5387,F30070,2019-10-29,2019-10-29,370.68960000000004
5388,F30090,2019-10-30,2019-10-30,528.4479
5389,F30106,2019-10-31,2019-10-31,3448.2758000000003
5390,F30108,2019-10-31,2019-10-31,1293.1034000000002
5391,F30110,2019-10-31,2019-10-31,501.862
5392,F30116,2019-10-31,2019-10-31,3879.3103
5393,F30121,2019-11-04,2019-11-04,765.0
5394,F30122,2019-11-04,2019-11-04,650.0
5395,F30130,2019-11-04,2019-11-04,190.00000000000003
5396,F30131,2019-11-04,2019-11-04,1469.14
5397,F30134,2019-11-04,2019-11-04,370.69000000000005
5398,F30135,2019-11-04,2019-11-04,710.0000000000001
5399,F30136,2019-11-04,2019-11-04,242.94
5400,F30137,2019-11-04,2019-11-04,44.00000000000001
5401,F30139,2019-11-04,2019-11-04,150.0
5402,F30141,2019-11-04,2019-11-04,1608.6200000000001
5403,F30156,2019-11-05,2019-11-05,192.42000000000002
5404,F30157,2019-11-05,2019-11-05,173.62065
5405,F30158,2019-11-05,2019-11-05,276.0
5406,F30181,2019-11-07,2019-11-07,499.2283
5407,F30187,2019-11-07,2019-11-07,999.0511
5408,F30188,2019-11-07,2019-11-07,567.0680000000001
5409,F30190,2019-11-07,2019-11-07,690.0
5410,F30195,2019-11-07,2019-11-07,276.0
5411,F30225,2019-11-11,2019-11-12,784.5000000000001
5412,F30228,2019-11-11,2019-11-12,130.725
5413,F30229,2019-11-11,2019-11-12,714.06
5414,F30230,2019-11-11,2019-11-12,952.08
5415,F30243,2019-11-12,2019-11-12,428.47
5416,F30262,2019-11-13,2019-11-14,710.1
5417,F30263,2019-11-13,2019-11-14,95.93
5418,F30264,2019-11-14,2019-11-14,385.00000000000006
5419,F30271,2019-11-14,2019-11-14,103.95
5420,F30285,2019-11-14,2019-11-15,252.16000000000003
5421,F30288,2019-11-15,2019-11-15,283.0425
5422,F30290,2019-11-15,2019-11-15,443.96500000000003
5423,F30292,2019-11-19,2019-11-19,120.00000000000001
5424,F30297,2019-11-19,2019-11-19,559.5500000000001
5425,F30305,2019-11-20,2019-11-20,4330.4400000000005
5426,F30308,2019-11-20,2019-11-20,874.14
5427,F30327,2019-11-21,2019-11-21,665.5200000000001
5428,F30347,2019-11-19,2019-11-22,152.89
5429,F30348,2019-11-21,2019-11-22,825.6800000000001
5430,F30370,2019-11-22,2019-11-25,1085.31
5431,F30371,2019-11-25,2019-11-25,288.0
5432,F30376,2019-11-25,2019-11-25,3879.3100000000004
5433,F30382,2019-11-26,2019-11-26,350.00000000000006
5434,F30415,2019-11-28,2019-11-28,419.83
5435,F30428,2019-11-28,2019-11-28,474.27
5436,F30434,2019-11-28,2019-11-29,683.21
5437,F30438,2019-11-29,2019-11-29,1105.97
5438,F30445,2019-11-29,2019-11-29,734.58
5439,F30452,2019-11-29,2019-11-29,4565.4051
5440,F30453,2019-11-29,2019-11-29,1206.8965
5441,F30454,2019-11-29,2019-11-29,8100.000000000001
5442,F30455,2019-11-29,2019-11-29,460.3448
5443,F30459,2019-11-29,2019-11-29,6946.3
5444,F30460,2019-11-29,2019-11-29,319.93960000000004
5445,F30461,2019-11-29,2019-11-29,332.52
5446,F30467,2019-11-29,2019-12-03,839.6600000000001
5447,F30468,2019-11-29,2019-12-03,1647.3
5448,F30469,2019-11-25,2019-12-03,110.91000000000001
5449,F30479,2019-12-03,2019-12-03,587.5000000000001
5450,F30480,2019-12-03,2019-12-03,910.0000000000001
5451,F30510,2019-12-05,2019-12-05,409.49
5452,F30515,2019-12-06,2019-12-06,258.62
5453,F30518,2019-12-05,2019-12-06,1103.19
5454,F30520,2019-12-06,2019-12-06,400.86
5455,F30540,2019-12-10,2019-12-10,500.00000000000006
5456,F30542,2019-12-09,2019-12-10,135.47000000000003
5457,F30552,2019-12-16,2019-12-11,10060.0
5458,F30554,2019-12-10,2019-12-11,264.62
5459,F30558,2019-12-11,2019-12-11,381.47030000000007
5460,F30611,2019-12-16,2019-12-17,1027.6000000000001
5461,F30619,2019-12-18,2019-12-18,2835.0000000000005
5462,F30639,2019-12-19,2019-12-19,1135.5800000000002
5463,F30646,2019-12-19,2019-12-19,8240.1
5464,F30647,2019-12-19,2019-12-19,1651.4500000000003
5465,F30653,2019-12-19,2019-12-20,2227.6000000000004
5466,F30656,2019-12-20,2019-12-20,218.55
5467,F30657,2019-12-20,2019-12-20,690.5
5468,F30661,2019-12-20,2019-12-20,1034.48
5469,F30662,2019-12-20,2019-12-20,1034.4827
5470,F30663,2019-12-20,2019-12-20,6000.000000000001
5471,F30664,2019-12-20,2019-12-20,14600.0
5472,F30665,2019-12-20,2019-12-20,9350.0
5473,F30672,2019-12-23,2019-12-23,4729.7300000000005
5474,F30676,2019-12-23,2019-12-23,689.6277
5475,F30677,2019-12-23,2019-12-23,2060.0
5476,F30680,2019-12-23,2019-12-23,270.0
5477,F30682,2019-12-24,2019-12-24,148.0
5478,F30686,2020-01-02,2020-01-03,841.4000000000001
5479,F30699,2020-01-06,2020-01-06,5352.0
5480,F30707,2020-01-06,2020-01-06,1366.0
5481,F30712,2020-01-03,2020-01-07,1275.875
5482,F30721,2020-01-07,2020-01-07,848.1400000000001
5483,F30747,2020-01-08,2020-01-09,252.16000000000003
5484,F30758,2020-01-10,2020-01-10,1203.0
5485,F30765,2020-01-10,2020-01-10,258.62
5486,F30771,2020-01-13,2020-01-13,546.0
5487,F30777,2020-01-13,2020-01-13,281.13750000000005
5488,F30780,2020-01-13,2020-01-13,1496.0
5489,F30788,2020-01-14,2020-01-14,1925.0000000000002
5490,F30794,2020-01-14,2020-01-14,111.00000000000001
5491,F30812,2020-01-15,2020-01-16,491.5200000000001
5492,F30818,2020-01-16,2020-01-16,749.0000000000001
5493,F30824,2020-01-16,2020-01-16,1197.28
5494,F30826,2020-01-17,2020-01-17,554.0
5495,F30830,2020-01-17,2020-01-17,2873.4400000000005
5496,F30831,2020-01-16,2020-01-17,182.3625
5497,F30834,2020-01-17,2020-01-20,750.0000000000001
5498,F30839,2020-01-20,2020-01-20,412.0
5499,F30847,2020-01-23,2020-01-21,1080.0
5500,F30850,2020-01-21,2020-01-21,767.2500000000001
5501,F30853,2020-01-21,2020-01-21,504.32000000000005
5502,F30886,2020-01-23,2020-01-23,212.10000000000002
5503,F30887,2020-01-23,2020-01-23,737.13
5504,F30889,2020-01-23,2020-01-23,13414.760000000002
5505,F30901,2020-01-24,2020-01-24,690.5
5506,F30902,2020-01-24,2020-01-24,923.6400000000001
5507,F30903,2020-01-24,2020-01-24,475.21250000000003
5508,F30909,2020-01-24,2020-01-24,1382.66
5509,F30915,2020-01-27,2020-01-27,223.28000000000003
5510,F30918,2020-01-27,2020-01-27,2321.46
5511,F30925,2020-01-28,2020-01-28,4903.448200000001
5512,F30929,2020-01-28,2020-01-28,3124.1000000000004
5513,F30936,2020-01-28,2020-01-28,817.2800000000001
5514,F30938,2020-01-28,2020-01-28,592.0
5515,F30955,2020-01-29,2020-01-30,567.0635
5516,F30975,2020-01-31,2020-01-31,206.8965
5517,F30980,2020-01-31,2020-01-31,258.6206
5518,F30987,2020-01-31,2020-01-31,280.17240000000004
5519,F30988,2020-01-31,2020-01-31,5493.405100000001
5520,F30990,2020-01-31,2020-01-31,689.6551000000001
5521,F30994,2020-01-31,2020-01-31,795.7068
5522,F30996,2020-01-31,2020-01-31,862.0689000000001
5523,F30997,2020-01-31,2020-01-31,303.6206
5524,F30998,2020-01-31,2020-01-31,431.03440000000006
5525,F31006,2020-02-05,2020-02-05,320.73
5526,F31008,2020-02-04,2020-02-05,694.575
5527,F31015,2020-01-31,2020-02-05,349.6936
5528,F31016,2020-02-05,2020-02-05,808.8344
5529,F31022,2020-02-06,2020-02-06,4860.0
5530,F31046,2020-02-06,2020-02-06,2594.83
5531,F31103,2020-02-11,2020-02-11,562.25
5532,F31104,2020-02-07,2020-02-11,1150.1864
5533,F31116,2020-02-17,2020-02-12,5552.000000000001
5534,F31160,2020-02-12,2020-02-17,2350.4
5535,F31162,2020-02-17,2020-02-17,504.32000000000005
5536,F31163,2020-02-17,2020-02-17,140.0
5537,F31165,2020-02-17,2020-02-17,597.2900000000001
5538,F31184,2020-02-18,2020-02-19,1479.3200000000002
5539,F31192,2020-02-19,2020-02-19,183.0
5540,F31195,2020-02-19,2020-02-19,145.87
5541,F31204,2020-02-20,2020-02-20,2698.7000000000003
5542,F31229,2020-02-21,2020-02-21,1235.5200000000002
5543,F31267,2020-02-14,2020-02-25,316.32000000000005
5544,F31272,2020-02-25,2020-02-25,250.00000000000003
5545,F31309,2020-02-27,2020-02-27,3034.75
5546,F31319,2020-02-28,2020-02-28,450.99
5547,F31325,2020-02-28,2020-02-28,244.50000000000003
5548,F31341,2020-02-28,2020-02-28,530.1724
5549,F31342,2020-02-28,2020-02-28,2155.1724
5550,F31343,2020-02-28,2020-02-28,1724.1379
5551,F31344,2020-02-28,2020-02-28,1033.5775
5552,F31348,2020-02-28,2020-02-28,724.1379
5553,F31349,2020-02-28,2020-02-28,20250.0
5554,F31354,2020-02-28,2020-02-28,301.8103
5555,F31356,2020-02-28,2020-02-28,3300.0
5556,F31357,2020-02-28,2020-02-28,2840.0
5557,F31358,2020-02-28,2020-02-28,1312.5
5558,F31360,2020-02-28,2020-02-28,1677.75
5559,F31361,2020-02-28,2020-02-28,442.1724
5560,F31362,2020-02-28,2020-02-28,27.4396
5561,F31363,2020-02-28,2020-02-28,209.3103
5562,F31364,2020-02-28,2020-02-28,1337.5603
5563,F31374,2020-03-03,2020-03-03,215.52
5564,F31375,2020-02-28,2020-03-03,3244.3137000000006
5565,F31387,2020-03-03,2020-03-03,2067.18
5566,F31399,2020-03-03,2020-03-04,82.41560000000001
5567,F31408,2020-03-04,2020-03-04,1063.1100000000001
5568,F31442,2020-03-09,2020-03-09,996.5517000000001
5569,F31445,2020-03-09,2020-03-09,1543.9993000000002
5570,F31457,2020-03-03,2020-03-10,1014.2109000000002
5571,F31489,2020-03-12,2020-03-12,1472.2800000000002
5572,F31498,2020-03-11,2020-03-13,370.00399999999996
5573,F31500,2020-02-18,2020-03-13,638.98
5574,F31503,,2020-03-13,5246.182
5575,F31506,2020-03-13,2020-03-13,1465.7
5576,F31511,2020-03-13,2020-03-13,727.8
5577,F31529,2020-03-17,2020-03-18,1594.14
5578,F31555,2020-03-13,2020-03-19,227.4273
